cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
-1,2,700,reference,0,learned_reference,0.010247392159495971,0.10122940363103979,0.875,1.0,0.36459595428233027,0.4344306157151517
-1,2,700,reference,0,true_reference,0.00970108460683744,0.09849408412101429,0.875,1.0,0.3669955779100237,0.4373024706014377
-1,2,701,reference,0,learned_reference,0.014983549664496894,0.1224073105026693,0.875,1.0,0.3577365617931334,0.4263833374168194
-1,2,701,reference,0,true_reference,0.01497956910560829,0.1223910499407873,0.875,1.0,0.36032791386995966,0.42947836176334064
-1,2,702,reference,0,learned_reference,0.014182307590842992,0.11908949404058694,1.0,1.0,0.3629602147147951,0.43250937572587456
-1,2,702,reference,0,true_reference,0.013701092202711271,0.11705166467296085,1.0,1.0,0.36593333785271426,0.4360476968892232
-1,2,703,reference,0,learned_reference,0.018571870202243636,0.13627864910632054,0.875,1.0,0.3681859915499943,0.43867487622539986
-1,2,703,reference,0,true_reference,0.017630992312851257,0.13278174691143077,0.875,1.0,0.37051867663682625,0.4414641049806036
-1,2,704,reference,0,learned_reference,0.004559378607185053,0.06752317089107304,1.0,1.0,0.3695822276558873,0.4402876346826877
-1,2,704,reference,0,true_reference,0.004207599088082213,0.06486600872631376,1.0,1.0,0.37112173601978643,0.4421509438338915
-1,2,705,reference,0,learned_reference,0.010064186394507409,0.10032041863203826,1.0,1.0,0.35904925603038595,0.4279269700500495
-1,2,705,reference,0,true_reference,0.009934491714063886,0.0996719203891642,1.0,1.0,0.36126357044106866,0.43057654788088806
-1,2,706,reference,0,learned_reference,0.005821278416226551,0.07629730281095493,1.0,1.0,0.3502410440519027,0.41741359425365976
-1,2,706,reference,0,true_reference,0.005460177869919136,0.07389301638124632,1.0,1.0,0.35202275878523537,0.41954810866796094
-1,2,707,reference,0,learned_reference,0.0049434547583603,0.07030970600393874,1.0,1.0,0.35910587207861344,0.4278310683752685
-1,2,707,reference,0,true_reference,0.004940704270692206,0.07029014348180125,1.0,1.0,0.36203340419707286,0.4313385177476315
-1,2,708,reference,0,learned_reference,0.010493215152600224,0.10243639564432275,1.0,1.0,0.35334191448870855,0.42096813487998247
-1,2,708,reference,0,true_reference,0.010695984496259827,0.10342139283658786,1.0,1.0,0.35563655516451353,0.4237140723786723
-1,2,709,reference,0,learned_reference,0.013755696342670034,0.11728468076722566,0.875,1.0,0.3666536935174742,0.43680177898981026
-1,2,709,reference,0,true_reference,0.013936904292385413,0.11805466654218041,0.875,1.0,0.3691110014423328,0.43974369542556097
-1,3,700,reference,0,learned_reference,0.009456134242815172,0.0972426564981396,0.875,1.0,0.3678150429007779,0.43826453703003787
-1,3,700,reference,0,true_reference,0.00970108460683744,0.09849408412101429,0.875,1.0,0.3669955779100237,0.4373024706014377
-1,3,701,reference,0,learned_reference,0.015166527190634082,0.1231524550735148,0.875,1.0,0.3611587347651729,0.43044660314192756
-1,3,701,reference,0,true_reference,0.01497956910560829,0.1223910499407873,0.875,1.0,0.36032791386995966,0.42947836176334064
-1,3,702,reference,0,learned_reference,0.015037784139182095,0.12262864322490931,1.0,1.0,0.3664489987399354,0.43665926363095253
-1,3,702,reference,0,true_reference,0.013701092202711271,0.11705166467296085,1.0,1.0,0.36593333785271426,0.4360476968892232
